,year,value,count
0,2003,205,11
1,2003,210,13
2,2003,215,9
3,2003,220,9
4,2003,225,9
5,2003,230,10
6,2003,235,8
7,2003,240,6
8,2003,245,14
9,2003,250,9
10,2003,255,7
11,2003,260,8
12,2003,265,5
13,2003,270,7
14,2003,275,4
15,2003,280,6
16,2003,285,3
17,2003,290,7
18,2003,295,4
19,2003,300,8
20,2003,305,6
21,2003,310,2
22,2003,315,6
23,2003,320,5
24,2003,325,4
25,2003,330,3
26,2003,335,5
27,2003,340,2
28,2003,345,3
29,2003,350,1
30,2003,355,2
31,2003,365,4
32,2003,165,3
33,2003,370,4
34,2003,170,7
35,2003,375,1
36,2003,175,5
37,2003,380,2
38,2003,180,3
39,2003,385,1
40,2003,185,10
41,2003,390,2
42,2003,395,3
43,2003,190,5
44,2003,195,11
45,2003,200,8
46,2004,120,1
47,2004,125,1
48,2004,130,1
49,2004,135,6
50,2004,140,5
51,2004,145,11
52,2004,150,12
53,2004,155,14
54,2004,160,9
55,2004,165,8
56,2004,170,20
57,2004,175,19
58,2004,180,13
59,2004,185,26
60,2004,190,34
61,2004,195,31
62,2004,200,36
63,2004,205,38
64,2004,210,26
65,2004,215,25
66,2004,220,24
67,2004,225,21
68,2004,230,27
69,2004,235,26
70,2004,240,42
71,2004,245,31
72,2004,250,29
73,2004,255,35
74,2004,260,31
75,2004,265,42
76,2004,270,32
77,2004,275,42
78,2004,280,26
79,2004,285,27
80,2004,290,22
81,2004,295,38
82,2004,300,17
83,2004,305,32
84,2004,310,23
85,2004,315,22
86,2004,320,24
87,2004,325,16
88,2004,330,14
89,2004,335,23
90,2004,340,21
91,2004,345,20
92,2004,350,14
93,2004,355,14
94,2004,360,28
95,2004,365,19
96,2004,370,23
97,2004,375,18
98,2004,380,16
99,2004,385,13
100,2004,390,17
101,2004,395,6
102,2005,180,105
103,2005,115,1
104,2005,120,4
105,2005,125,5
106,2005,130,12
107,2005,185,119
108,2005,135,17
109,2005,140,23
110,2005,145,42
111,2005,150,49
112,2005,155,77
113,2005,160,76
114,2005,165,92
115,2005,170,79
116,2005,175,89
117,2005,190,107
118,2005,195,95
119,2005,200,120
120,2005,205,91
121,2005,210,109
122,2005,215,110
123,2005,220,105
124,2005,225,98
125,2005,230,76
126,2005,235,75
127,2005,240,109
128,2005,245,80
129,2005,250,67
130,2005,255,77
131,2005,260,74
132,2005,265,63
133,2005,270,69
134,2005,275,55
135,2005,280,68
136,2005,285,53
137,2005,290,63
138,2005,295,52
139,2005,300,61
140,2005,305,59
141,2005,310,51
142,2005,315,45
143,2005,320,42
144,2005,325,44
145,2005,330,41
146,2005,335,38
147,2005,340,35
148,2005,345,33
149,2005,350,42
150,2005,355,40
151,2005,360,42
152,2005,365,36
153,2005,370,29
154,2005,375,30
155,2005,380,36
156,2005,385,31
157,2005,390,30
158,2005,395,33
159,2006,160,177
160,2006,165,191
161,2006,170,213
162,2006,175,197
163,2006,180,191
164,2006,100,1
165,2006,110,4
166,2006,185,204
167,2006,120,15
168,2006,125,22
169,2006,130,30
170,2006,135,58
171,2006,140,75
172,2006,145,113
173,2006,150,137
174,2006,190,225
175,2006,155,162
176,2006,195,197
177,2006,200,196
178,2006,205,215
179,2006,210,203
180,2006,215,178
181,2006,220,180
182,2006,225,164
183,2006,230,168
184,2006,235,159
185,2006,240,147
186,2006,245,149
187,2006,250,123
188,2006,255,128
189,2006,260,109
190,2006,265,136
191,2006,270,110
192,2006,275,100
193,2006,280,107
194,2006,285,105
195,2006,290,117
196,2006,295,84
197,2006,300,76
198,2006,305,72
199,2006,310,84
200,2006,315,87
201,2006,320,71
202,2006,325,67
203,2006,330,58
204,2006,335,61
205,2006,340,46
206,2006,345,71
207,2006,350,46
208,2006,355,69
209,2006,360,66
210,2006,365,53
211,2006,370,34
212,2006,375,48
213,2006,380,56
214,2006,385,47
215,2006,390,41
216,2006,395,37
217,2007,95,7
218,2007,100,5
219,2007,105,10
220,2007,110,24
221,2007,115,55
222,2007,120,95
223,2007,125,121
224,2007,130,188
225,2007,135,263
226,2007,140,284
227,2007,145,350
228,2007,150,385
229,2007,155,404
230,2007,160,418
231,2007,165,400
232,2007,170,402
233,2007,175,406
234,2007,180,393
235,2007,185,379
236,2007,190,390
237,2007,195,373
238,2007,200,345
239,2007,205,354
240,2007,210,333
241,2007,215,342
242,2007,220,328
243,2007,225,309
244,2007,230,294
245,2007,235,287
246,2007,240,263
247,2007,245,264
248,2007,250,242
249,2007,255,223
250,2007,260,235
251,2007,265,223
252,2007,270,176
253,2007,275,172
254,2007,280,186
255,2007,285,144
256,2007,290,163
257,2007,295,149
258,2007,300,127
259,2007,305,146
260,2007,310,134
261,2007,315,138
262,2007,320,119
263,2007,325,110
264,2007,330,110
265,2007,335,103
266,2007,340,97
267,2007,345,123
268,2007,350,100
269,2007,355,96
270,2007,360,100
271,2007,365,91
272,2007,370,88
273,2007,375,95
274,2007,380,79
275,2007,385,69
276,2007,390,76
277,2007,395,72
278,2008,70,1
279,2008,85,5
280,2008,90,7
281,2008,95,13
282,2008,100,39
283,2008,105,83
284,2008,110,130
285,2008,115,226
286,2008,120,312
287,2008,125,422
288,2008,130,544
289,2008,135,633
290,2008,140,775
291,2008,145,866
292,2008,150,849
293,2008,155,958
294,2008,160,948
295,2008,165,1037
296,2008,170,1018
297,2008,175,1030
298,2008,180,976
299,2008,185,930
300,2008,190,957
301,2008,195,864
302,2008,200,788
303,2008,205,766
304,2008,210,751
305,2008,215,719
306,2008,220,684
307,2008,225,644
308,2008,230,623
309,2008,235,586
310,2008,240,535
311,2008,245,497
312,2008,250,518
313,2008,255,466
314,2008,260,441
315,2008,265,420
316,2008,270,390
317,2008,275,401
318,2008,280,399
319,2008,285,348
320,2008,290,297
321,2008,295,377
322,2008,300,300
323,2008,305,304
324,2008,310,247
325,2008,315,265
326,2008,320,248
327,2008,325,236
328,2008,330,241
329,2008,335,235
330,2008,340,222
331,2008,345,228
332,2008,350,182
333,2008,355,178
334,2008,360,196
