personName,personId,personCountryId,year
Łukasz Ciałoń,2005CIAL02,Poland,2007
Milán Baticz,2005BATI01,Hungary,2007
Mátyás Kuti,2006KUTI01,Hungary,2007
Rafał Guzewicz,2006GUZE01,Poland,2007
Bernett Orlando,2006ORLA01,India,2007
Sinpei Araki (荒木慎平),2006ARAK01,Japan,2007
Chris Hardwick,2003HARD01,USA,2007
Dror Vomberg,2003VOMB01,Israel,2007
Yumu Tabuchi (田渕雄夢),2006TABU02,Japan,2007
Bernett Orlando,2006ORLA01,India,2007
Chris Hardwick,2003HARD01,USA,2007
Dror Vomberg,2003VOMB01,Israel,2007
István Kocza,2005KOCZ01,Hungary,2007
Daniel Beyer,2006BEYE01,USA,2007
Rafał Guzewicz,2006GUZE01,Poland,2007
Mátyás Kuti,2006KUTI01,Hungary,2007
John Louis,2006LOUI01,India,2007
Ryosuke Mondo (門戸良介),2006MOND01,Japan,2007
Róbert Örkényi,2006ORKE01,Hungary,2007
Mátyás Kuti,2006KUTI01,Hungary,2007
Tim Reynolds,2005REYN01,USA,2007
Máté Horváth,2007HORV01,Hungary,2007
Mátyás Kuti,2006KUTI01,Hungary,2007
Bálint Horváth,2007HORV02,Hungary,2007
Yu Nakajima (中島悠),2007NAKA03,Japan,2007
Andrew Kang,2006KANG01,USA,2007
Mitsuki Gunji (郡司光貴),2006GUNJ01,Japan,2007
Rafał Guzewicz,2006GUZE01,Poland,2007
Shotaro Makisumi (牧角章太郎),2003MAKI01,Japan,2007
Tyson Mao (毛台勝),2004MAOT02,USA,2007
Zbigniew Zborowski,2003ZBOR02,Poland,2007
Yumu Tabuchi (田渕雄夢),2006TABU02,Japan,2007
Piotr Kózka,2005KOZK01,Poland,2007
Anssi Vanhala,2005VANH01,Finland,2007
Erik Akkersdijk,2005AKKE01,Netherlands,2007
Oliver Wolff,2004WOLF01,Germany,2007
Ryan Patricio,2004PATR01,USA,2007
Milán Baticz,2005BATI01,Hungary,2007
Dan Dzoan,2006DZOA03,USA,2007
Mátyás Kuti,2006KUTI01,Hungary,2007
Milán Baticz,2005BATI01,Hungary,2007
Erik Akkersdijk,2005AKKE01,Netherlands,2007
