competitionId,best,average,personName,personCountryId,regionalSingleRecord,regionalAverageRecord
LyonOpen2007,1968,2128,Etienne Amany,Cote d_Ivoire,AfR,AfR
GuangdongOpen2007,1635,0,Joshua Li,Australia,OcR,
GuangdongOpen2007,1633,1810,Joshua Li,Australia,OcR,OcR
WC2007,1577,1667,Pedro Santos Guimarães,Brazil,SAR,SAR
WC2007,1221,1344,Andrew Kang,USA,,NAR
WC2007,1300,2068,Pedro Santos Guimarães,Brazil,SAR,
WC2007,1088,1305,Andrew Kang,USA,,NAR
DutchOpen2007,977,1488,Erik Akkersdijk,Netherlands,WR,
Ibaraki2007,983,1534,Kouetsu Ando (安藤弘悦),Japan,AsR,
BerkeleyFall2007,1130,1238,Andy Tsao,USA,,NAR
Netherlands2007,955,1624,Ron van Bruchem,Netherlands,WR,
TorontoOpenFall2007,980,1294,Harris Chan,Canada,NAR,
TorontoOpenFall2007,1690,1898,Emile Compion,South Africa,AfR,AfR
TorontoOpenFall2007,1596,2106,Emile Compion,South Africa,AfR,
BrazilOpen2007,1263,1589,Pedro Santos Guimarães,Brazil,SAR,SAR
BrazilOpen2007,1400,1571,Pedro Santos Guimarães,Brazil,,SAR
LyonWinterOpen2007,1384,1909,Etienne Amany,Cote d_Ivoire,AfR,
KawasakiOpen2008,975,1230,Mitsuki Gunji (郡司光貴),Japan,AsR,
BelgianOpen2008,1033,1231,Edouard Chambon,France,,ER
MontpellierOpen2008,1065,1216,Edouard Chambon,France,,ER
MurciaOpen2008,918,1148,Edouard Chambon,France,WR,WR
TorontoOpenWinter2008,1096,1227,Harris Chan,Canada,,NAR
OsakaOpen2008,1046,1133,Yu Nakajima (中島悠),Japan,,WR
CanadianCubingClassic2008,1015,1206,Harris Chan,Canada,,NAR
CanadianCubingClassic2008,944,1205,Harris Chan,Canada,NAR,NAR
CanadianCubingClassic2008,1615,1809,Emile Compion,South Africa,,AfR
KashiwaOpen2008,1016,1128,Yu Nakajima (中島悠),Japan,,WR
KashiwaOpen2008,872,1271,Yu Nakajima (中島悠),Japan,WR,
KashiwaOpen2008,872,1175,Yu Nakajima (中島悠),Japan,WR,
DaVinciScience2008,1084,1197,Jason Baum,USA,,NAR
CzechOpen2008,708,1226,Erik Akkersdijk,Netherlands,WR,
USOpen2008,1068,1189,Andrew Kang,USA,,NAR
USOpen2008,913,1631,Rowe Hessler,USA,NAR,
MinasOpen2008,1368,1456,Pedro Santos Guimarães,Brazil,,SAR
NiagaraOpenSummer2008,1003,1150,Harris Chan,Canada,,NAR
MarinaGdanskOpen2008,1078,1142,Tomasz Żołnowski,Poland,,ER
GuangdongOpen2008,1347,1559,Joshua Li,Australia,OcR,OcR
PoznanOpen2008,1053,1132,Tomasz Żołnowski,Poland,,ER
TorontoOpenFall2008,1568,1777,Emile Compion,South Africa,,AfR
NewarkOpen2008,891,1286,Rowe Hessler,USA,NAR,
BerkeleyFall2008,1047,1142,Andy Tsao,USA,,NAR
SaoPauloOpen2009,1241,1546,Pedro Santos Guimarães,Brazil,SAR,
SaoPauloOpen2009,1166,1363,Pedro Santos Guimarães,Brazil,SAR,SAR
BeneluxOpen2009,971,1111,Erik Akkersdijk,Netherlands,,WR
TorontoOpenWinter2009,1556,1741,Emile Compion,South Africa,,AfR
MoscowOpen2009,2926,3173,Roman Ostapenko (Роман Остапенко),Ukraine,NR,NR
UPennSpring2009,1452,1516,Dene Beardsley,New Zealand,,OcR
OsakaOpen2009,919,1083,Yumu Tabuchi (田渕雄夢),Japan,,WR
WarsawOpen2009,943,1063,Tomasz Żołnowski,Poland,,WR
MotorCityOpen2009,1350,1791,Emile Compion,South Africa,AfR,
MotorCityOpen2009,1447,1552,Emile Compion,South Africa,,AfR
ThailandOpen2009,825,1316,Kittikorn Tangsucharitthum (กิตติกร ตั้งสุจริตธรรม),Thailand,AsR,
DiscoveryScience2009,1375,1506,Dene Beardsley,New Zealand,,OcR
CaptainsCove2009,2643,3475,Serhii Sokhan (Сергій Сохан),Ukraine,NR,
TorontoOpenSummer2009,1100,1115,Harris Chan,Canada,,NAR
BrasiliaOpen2009,1171,1277,Pedro Santos Guimarães,Brazil,,SAR
BrasiliaOpen2009,1140,1757,Renan Mondini Cerpe,Brazil,SAR,
NewZealandChamps2009,1005,1374,Feliks Zemdegs,Australia,OcR,
NewZealandChamps2009,1071,1255,Feliks Zemdegs,Australia,OcR,OcR
JapanOpen2009,986,1071,Yumu Tabuchi (田渕雄夢),Japan,,AsR
SaintPetersburgOpen2009,1946,2400,Andrii Kompaniiets (Андрій Компанієць),Ukraine,NR,NR
SaintPetersburgOpen2009,2144,2565,Andrii Kompaniiets (Андрій Компанієць),Ukraine,NR,NR
CanadianOpen2009,916,1111,Harris Chan,Canada,,NAR
PolishOpen2009,868,1007,Tomasz Żołnowski,Poland,,WR
WC1982,2295,0,Minh Thai,USA,WR,
WC1982,2432,0,Guus Razoux Schultz,Netherlands,ER,
WC1982,2491,0,Ken'ichi Ueno (上野健一),Japan,AsR,
WC1982,2962,0,Eduardo Valdivia Chacon,Peru,SAR,
WC2003,1876,2000,Dan Knights,USA,,WR
WC2003,1981,2096,David Wesley,Sweden,,ER
WC2003,1671,0,Dan Knights,USA,WR,
WC2003,1779,0,Masayuki Akimoto (秋元正行),Japan,AsR,
WC2003,1830,0,Lars Vandenbergh,Belgium,ER,
WC2003,5429,0,Jasmine Lee,Australia,OcR,
WC2003,1653,0,Jess Bonde,Denmark,WR,
CaltechWinter2004,1507,0,Shotaro Makisumi (牧角章太郎),Japan,WR,
CaltechWinter2004,1476,1653,Shotaro Makisumi (牧角章太郎),Japan,WR,WR
CaltechSpring2004,1393,0,Shotaro Makisumi (牧角章太郎),Japan,WR,
CaltechSpring2004,1211,1538,Shotaro Makisumi (牧角章太郎),Japan,WR,WR
GermanOpen2004,1373,1712,Lars Vandenbergh,Belgium,ER,ER
GermanOpen2004,1561,1635,Lars Vandenbergh,Belgium,,ER
US2004,4628,0,Jasmine Lee,Australia,OcR,
US2004,1585,1791,Chris Hardwick,USA,NAR,NAR
US2004,1664,0,Jon Morris,USA,NAR,
Euro2004,1495,1619,Lars Vandenbergh,Belgium,,ER
CaltechFall2004,1316,1452,Shotaro Makisumi (牧角章太郎),Japan,,WR
DutchOpen2006,2559,2819,Jasmine Lee,Australia,OcR,OcR
Euro2006,1126,1413,Joël van Noort,Netherlands,ER,
US2006,1048,1589,Toby Mao (毛台立),USA,WR,
CaltechSpring2006,1250,1403,Shotaro Makisumi (牧角章太郎),Japan,,AsR
CaltechSpring2006,1475,1516,Darren Kwong,USA,,NAR
CaltechSpring2006,1408,1479,Ryan Patricio,USA,,NAR
CaltechSpring2006,1290,1456,Ryan Patricio,USA,,NAR
Svekub2006,1308,1440,Anssi Vanhala,Finland,,WR
Svekub2006,1247,1322,Anssi Vanhala,Finland,,WR
CaltechWinter2006,1113,1736,Leyan Lo,USA,WR,
CaltechWinter2006,1362,1517,Leyan Lo,USA,,NAR
Rutgers2005,1323,1523,Leyan Lo,USA,,NAR
WC2005,1324,0,Ryan Patricio,USA,NAR,
WC2005,2796,0,Jasmine Lee,Australia,OcR,
WC2005,1287,1709,Chris Hardwick,USA,NAR,
WC2005,1300,1510,Jean Pons,France,,ER
WC2005,1270,1697,Matt Walter,Canada,NAR,
CaltechFall2005,1433,1585,Ryan Patricio,USA,,NAR
CaltechFall2005,1489,1551,Ryan Patricio,USA,,NAR
DutchOpen2005,1362,1578,Jean Pons,France,ER,
DutchOpen2005,3062,3477,Jasmine Lee,Australia,OcR,OcR
DutchOpen2005,1175,1664,Jean Pons,France,WR,
CaltechDallas2005,1554,1659,Leyan Lo,USA,,NAR
CaltechDallas2005,1397,1596,Chris Hardwick,USA,,NAR
HoraceMann2005,1378,1686,Chris Hardwick,USA,,NAR
HoraceMann2005,1341,1859,Quinn Lewis,USA,NAR,
GermanOpen2005,1485,1546,Lars Vandenbergh,Belgium,,ER
GermanOpen2005,1431,1529,Lars Vandenbergh,Belgium,,ER
GermanOpen2005,1362,1570,Lars Vandenbergh,Belgium,ER,
France2005,1549,1557,Edouard Chambon,France,,ER
CaltechSpring2005,1542,1740,Leyan Lo,USA,NAR,NAR
CaltechWinter2005,1577,1986,Leyan Lo,USA,NAR,
CaltechFall2006,1204,1415,Shotaro Makisumi (牧角章太郎),Japan,AsR,
CaltechFall2006,1230,1334,Shotaro Makisumi (牧角章太郎),Japan,,AsR
CaltechFall2006,1309,1377,Ryan Patricio,USA,,NAR
UKOpen2006,2060,0,Jasmine Lee,Australia,OcR,
UKOpen2006,2037,2671,Jasmine Lee,Australia,OcR,OcR
KCRC2007,1131,0,JeongMin Yu (유정민),Korea,AsR,
KCRC2007,1109,1176,JeongMin Yu (유정민),Korea,AsR,WR
BelgianOpen2007,1036,1317,Edouard Chambon,France,WR,ER
BelgianOpen2007,1131,1303,Thibaut Jacquinot,France,,ER
SpanishOpen2007,986,1274,Thibaut Jacquinot,France,WR,ER
