competitionId,best,average,personName,personCountryId,regionalSingleRecord,regionalAverageRecord,year
LyonOpen2007,1968,2128,Etienne Amany,Cote d_Ivoire,AfR,AfR,2007
GuangdongOpen2007,1635,0,Joshua Li,Australia,OcR,,2007
GuangdongOpen2007,1633,1810,Joshua Li,Australia,OcR,OcR,2007
WC2007,1577,1667,Pedro Santos Guimarães,Brazil,SAR,SAR,2007
WC2007,1221,1344,Andrew Kang,USA,,NAR,2007
WC2007,1300,2068,Pedro Santos Guimarães,Brazil,SAR,,2007
WC2007,1088,1305,Andrew Kang,USA,,NAR,2007
DutchOpen2007,977,1488,Erik Akkersdijk,Netherlands,WR,,2007
Ibaraki2007,983,1534,Kouetsu Ando (安藤弘悦),Japan,AsR,,2007
BerkeleyFall2007,1130,1238,Andy Tsao,USA,,NAR,2007
Netherlands2007,955,1624,Ron van Bruchem,Netherlands,WR,,2007
TorontoOpenFall2007,980,1294,Harris Chan,Canada,NAR,,2007
TorontoOpenFall2007,1690,1898,Emile Compion,South Africa,AfR,AfR,2007
TorontoOpenFall2007,1596,2106,Emile Compion,South Africa,AfR,,2007
BrazilOpen2007,1263,1589,Pedro Santos Guimarães,Brazil,SAR,SAR,2007
BrazilOpen2007,1400,1571,Pedro Santos Guimarães,Brazil,,SAR,2007
LyonWinterOpen2007,1384,1909,Etienne Amany,Cote d_Ivoire,AfR,,2007
KawasakiOpen2008,975,1230,Mitsuki Gunji (郡司光貴),Japan,AsR,,2008
BelgianOpen2008,1033,1231,Edouard Chambon,France,,ER,2008
MontpellierOpen2008,1065,1216,Edouard Chambon,France,,ER,2008
MurciaOpen2008,918,1148,Edouard Chambon,France,WR,WR,2008
TorontoOpenWinter2008,1096,1227,Harris Chan,Canada,,NAR,2008
OsakaOpen2008,1046,1133,Yu Nakajima (中島悠),Japan,,WR,2008
CanadianCubingClassic2008,1015,1206,Harris Chan,Canada,,NAR,2008
CanadianCubingClassic2008,944,1205,Harris Chan,Canada,NAR,NAR,2008
CanadianCubingClassic2008,1615,1809,Emile Compion,South Africa,,AfR,2008
KashiwaOpen2008,1016,1128,Yu Nakajima (中島悠),Japan,,WR,2008
KashiwaOpen2008,872,1271,Yu Nakajima (中島悠),Japan,WR,,2008
KashiwaOpen2008,872,1175,Yu Nakajima (中島悠),Japan,WR,,2008
DaVinciScience2008,1084,1197,Jason Baum,USA,,NAR,2008
CzechOpen2008,708,1226,Erik Akkersdijk,Netherlands,WR,,2008
USOpen2008,1068,1189,Andrew Kang,USA,,NAR,2008
USOpen2008,913,1631,Rowe Hessler,USA,NAR,,2008
MinasOpen2008,1368,1456,Pedro Santos Guimarães,Brazil,,SAR,2008
NiagaraOpenSummer2008,1003,1150,Harris Chan,Canada,,NAR,2008
MarinaGdanskOpen2008,1078,1142,Tomasz Żołnowski,Poland,,ER,2008
GuangdongOpen2008,1347,1559,Joshua Li,Australia,OcR,OcR,2008
