,competitionId,eventId,roundTypeId,pos,best,average,personName,personId,personCountryId,formatId,value1,value2,value3,value4,value5,regionalSingleRecord,regionalAverageRecord
47156,NewZealandChamps2009,333,f,1,1005,1374,Feliks Zemdegs,2009ZEMD01,Australia,a,1005,1258,1484,1381,1500,OcR,
47165,NewZealandChamps2009,pyram,f,2,1230,1713,Feliks Zemdegs,2009ZEMD01,Australia,a,1913,1781,2008,1230,1444,NR,NR
47169,NewZealandChamps2009,sq1,f,2,2656,2883,Feliks Zemdegs,2009ZEMD01,Australia,a,2752,3131,2966,2656,2930,NR,NR
47170,NewZealandChamps2009,555,f,1,7636,8570,Feliks Zemdegs,2009ZEMD01,Australia,a,9294,8303,8113,9343,7636,OcR,OcR
47179,NewZealandChamps2009,444,f,1,4911,5146,Feliks Zemdegs,2009ZEMD01,Australia,a,5294,4911,5447,5066,5077,OcR,OcR
47187,NewZealandChamps2009,222,f,1,248,443,Feliks Zemdegs,2009ZEMD01,Australia,a,458,438,475,248,434,OcR,OcR
47192,NewZealandChamps2009,333bf,f,1,15768,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,-1,15768,0,0,OcR,
47195,NewZealandChamps2009,333,1,1,1071,1255,Feliks Zemdegs,2009ZEMD01,Australia,a,1071,1309,1393,1147,1308,OcR,OcR
47227,NewZealandChamps2009,333oh,f,1,2083,2372,Feliks Zemdegs,2009ZEMD01,Australia,a,2672,2431,2338,2347,2083,OcR,OcR
85199,MelbourneSummerOpen2010,sq1,f,1,1943,2288,Feliks Zemdegs,2009ZEMD01,Australia,a,2096,2353,2416,2641,1943,NR,OcR
85203,MelbourneSummerOpen2010,magic,f,2,136,241,Feliks Zemdegs,2009ZEMD01,Australia,a,143,336,-1,244,136,OcR,
85212,MelbourneSummerOpen2010,333bf,f,2,16996,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,-1,16996,0,0,,
85216,MelbourneSummerOpen2010,333,1,1,833,1018,Feliks Zemdegs,2009ZEMD01,Australia,a,1038,1046,971,1059,833,OcR,OcR
85248,MelbourneSummerOpen2010,333,f,1,869,921,Feliks Zemdegs,2009ZEMD01,Australia,a,891,883,1091,990,869,,WR
85256,MelbourneSummerOpen2010,222,1,1,258,326,Feliks Zemdegs,2009ZEMD01,Australia,a,303,288,258,519,388,,OcR
85276,MelbourneSummerOpen2010,222,f,1,216,303,Feliks Zemdegs,2009ZEMD01,Australia,a,290,216,493,336,284,OcR,OcR
85284,MelbourneSummerOpen2010,444,c,1,3783,4201,Feliks Zemdegs,2009ZEMD01,Australia,a,3809,3783,5553,4846,3947,OcR,WR
85298,MelbourneSummerOpen2010,555,c,1,6761,7840,Feliks Zemdegs,2009ZEMD01,Australia,a,7741,7855,7925,6761,8046,OcR,OcR
85311,MelbourneSummerOpen2010,pyram,f,1,438,713,Feliks Zemdegs,2009ZEMD01,Australia,a,693,765,809,438,681,OcR,OcR
85322,MelbourneSummerOpen2010,333oh,f,1,1646,2071,Feliks Zemdegs,2009ZEMD01,Australia,a,2269,1697,2246,2781,1646,OcR,OcR
107288,MelbourneWinterOpen2010,222,1,1,128,317,Feliks Zemdegs,2009ZEMD01,Australia,a,386,128,358,278,315,OcR,
107311,MelbourneWinterOpen2010,333,1,1,894,1020,Feliks Zemdegs,2009ZEMD01,Australia,a,1071,1200,1006,984,894,,
107342,MelbourneWinterOpen2010,pyram,1,1,505,571,Feliks Zemdegs,2009ZEMD01,Australia,a,755,505,528,655,531,,OcR
107359,MelbourneWinterOpen2010,333oh,d,1,1394,1920,Feliks Zemdegs,2009ZEMD01,Australia,a,1822,2584,1818,1394,2121,OcR,OcR
107376,MelbourneWinterOpen2010,sq1,d,1,1638,1967,Feliks Zemdegs,2009ZEMD01,Australia,a,1638,-1,2178,1861,1863,OcR,OcR
107384,MelbourneWinterOpen2010,333,2,1,847,937,Feliks Zemdegs,2009ZEMD01,Australia,a,847,956,925,1030,930,,
107400,MelbourneWinterOpen2010,555,c,1,7265,7737,Feliks Zemdegs,2009ZEMD01,Australia,a,7559,7265,8075,8883,7578,,OcR
107410,MelbourneWinterOpen2010,444,c,1,3944,4617,Feliks Zemdegs,2009ZEMD01,Australia,a,4566,4950,3944,4334,7775,,
107430,MelbourneWinterOpen2010,magic,1,4,155,249,Feliks Zemdegs,2009ZEMD01,Australia,a,341,246,161,155,1216,,
107452,MelbourneWinterOpen2010,333bf,f,1,6519,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,6519,-1,-1,0,0,OcR,
107458,MelbourneWinterOpen2010,magic,f,2,152,200,Feliks Zemdegs,2009ZEMD01,Australia,a,158,152,161,281,309,,
107465,MelbourneWinterOpen2010,pyram,f,1,515,577,Feliks Zemdegs,2009ZEMD01,Australia,a,636,515,538,600,593,,
107473,MelbourneWinterOpen2010,222,f,1,215,323,Feliks Zemdegs,2009ZEMD01,Australia,a,258,280,430,509,215,,
107482,MelbourneWinterOpen2010,sq1,f,2,2408,2957,Feliks Zemdegs,2009ZEMD01,Australia,a,3459,2408,4305,2650,2761,,
107485,MelbourneWinterOpen2010,333oh,f,1,1283,1869,Feliks Zemdegs,2009ZEMD01,Australia,a,1630,1283,2078,1900,6497,OcR,OcR
107493,MelbourneWinterOpen2010,333,f,1,830,982,Feliks Zemdegs,2009ZEMD01,Australia,a,830,1318,915,1084,947,OcR,
109939,NewZealand2010,222,1,1,168,323,Feliks Zemdegs,2009ZEMD01,Australia,a,359,327,168,343,300,,
109957,NewZealand2010,333oh,d,1,1722,1852,Feliks Zemdegs,2009ZEMD01,Australia,a,1859,1777,1722,2106,1921,,OcR
109970,NewZealand2010,333,1,1,890,938,Feliks Zemdegs,2009ZEMD01,Australia,a,988,956,890,955,902,,
110010,NewZealand2010,sq1,f,1,1753,1907,Feliks Zemdegs,2009ZEMD01,Australia,a,1859,1909,2036,1753,1952,,OcR
110013,NewZealand2010,pyram,f,1,577,652,Feliks Zemdegs,2009ZEMD01,Australia,a,600,822,615,577,740,,
110022,NewZealand2010,333bf,f,1,-1,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,-1,-1,0,0,,
110023,NewZealand2010,444bf,f,1,-1,0,Feliks Zemdegs,2009ZEMD01,Australia,1,-1,0,0,0,0,,
110024,NewZealand2010,444,c,1,3555,4263,Feliks Zemdegs,2009ZEMD01,Australia,a,5066,4130,3555,4172,4486,WR,
110038,NewZealand2010,555,c,1,6972,7347,Feliks Zemdegs,2009ZEMD01,Australia,a,7290,6972,7306,7446,7550,,OcR
110048,NewZealand2010,666,f,1,14821,16657,Feliks Zemdegs,2009ZEMD01,Australia,m,17405,14821,17744,0,0,OcR,OcR
110050,NewZealand2010,222,f,1,138,284,Feliks Zemdegs,2009ZEMD01,Australia,a,215,300,427,138,336,,OcR
110058,NewZealand2010,333oh,f,1,1358,1850,Feliks Zemdegs,2009ZEMD01,Australia,a,1747,2002,1358,1894,1909,,OcR
110066,NewZealand2010,333,f,1,794,852,Feliks Zemdegs,2009ZEMD01,Australia,a,936,1411,802,819,794,OcR,WR
122120,AustralianNationals2010,666,c,1,16327,17819,Feliks Zemdegs,2009ZEMD01,Australia,m,20406,16327,16725,0,0,,
122127,AustralianNationals2010,777,c,1,25056,25397,Feliks Zemdegs,2009ZEMD01,Australia,m,25634,25056,25500,0,0,OcR,OcR
122133,AustralianNationals2010,sq1,d,1,1403,1857,Feliks Zemdegs,2009ZEMD01,Australia,a,1403,2106,1830,1981,1759,OcR,OcR
122141,AustralianNationals2010,pyram,1,1,509,656,Feliks Zemdegs,2009ZEMD01,Australia,a,933,509,616,690,663,,
122159,AustralianNationals2010,222,1,1,203,303,Feliks Zemdegs,2009ZEMD01,Australia,a,321,281,309,318,203,,
122186,AustralianNationals2010,444,d,1,4058,4578,Feliks Zemdegs,2009ZEMD01,Australia,a,4563,4808,5805,4363,4058,,
122205,AustralianNationals2010,555,d,1,6293,6759,Feliks Zemdegs,2009ZEMD01,Australia,a,6293,6856,6416,7069,7006,WR,WR
122218,AustralianNationals2010,333,1,1,743,882,Feliks Zemdegs,2009ZEMD01,Australia,a,880,859,743,1181,906,OcR,
122261,AustralianNationals2010,333bf,1,5,-1,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,-1,-1,0,0,,
122264,AustralianNationals2010,333oh,d,1,1431,1476,Feliks Zemdegs,2009ZEMD01,Australia,a,1452,1575,1431,1502,1475,,WR
122313,AustralianNationals2010,minx,c,1,6805,7754,Feliks Zemdegs,2009ZEMD01,Australia,a,9394,7211,6805,8447,7605,OcR,OcR
122321,AustralianNationals2010,444bf,f,1,-1,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,-1,-1,0,0,,
122324,AustralianNationals2010,333,2,1,771,968,Feliks Zemdegs,2009ZEMD01,Australia,a,993,771,1071,1219,840,,
122340,AustralianNationals2010,222,2,1,161,301,Feliks Zemdegs,2009ZEMD01,Australia,a,331,280,-1,161,293,,
122355,AustralianNationals2010,333oh,2,1,1608,1812,Feliks Zemdegs,2009ZEMD01,Australia,a,1697,1608,1905,1834,-1,,
