competitionId,best,average,personName,personCountryId,regionalSingleRecord,regionalAverageRecord,year
Euro2016,586,786,Ivan Vynnyk (Іван Винник),Ukraine,NR,NR,2016
LimaRubik2016,632,1049,Angelo Giovanni Licetti León,Peru,SAR,,2016
POPSOpen2016,473,697,Feliks Zemdegs,Australia,WR,,2016
AlgeriaWinter2016,915,1233,Yassine Bettahar,Algeria,AfR,,2016
AustralianNationals2016,532,676,Feliks Zemdegs,Australia,OcR,,2016
Euro2016,513,768,Mats Valk,Netherlands,ER,,2016
KoreanChampionship2016,494,913,Hyo-Min Seo (서효민),Korea,AsR,,2016
CampeonatoNacionalPerubik2017,611,961,Angelo Giovanni Licetti León,Peru,SAR,,2017
Chicago2017,459,754,SeungBeom Cho (조승범),Korea,WR,,2017
Johannesburg2017,809,1185,Shivaan Harichander,South Africa,AfR,,2017
ChinaChampionship2017,490,643,Seung Hyuk Nahm (남승혁),Korea,AsR,AsR,2017
BluegrassSpring2017,476,726,Drew Brads,USA,NAR,,2017
UkrainianNationals2018,534,944,Mykyta Tytar (Микита Титарь),Ukraine,NR,,2018
LaTiendaCuberaChristmas2018,552,863,Angelo Giovanni Licetti León,Peru,SAR,,2018
WuhuOpen2018,347,900,Yusheng Du (杜宇生),China,WR,,2018
SetifSpringOpen2018,673,1040,Yassine Bettahar,Algeria,AfR,,2018
PolishChampionship2018,459,962,Jakub Kipa,Poland,ER,,2018
SacCubingV2018,440,613,Max Park,USA,NAR,,2018
SantaFeInvierno2019,550,779,Bautista Bonazzola,Argentina,SAR,,2019
SensOpen2019,444,925,Juliette Sébastien,France,ER,,2019
NortheastChampionship2019,424,697,Patrick Ponce,USA,NAR,,2019
PodolianOpen2014,668,917,Ivan Vynnyk (Іван Винник),Ukraine,NR,,2014
MelbourneSummer2014,566,762,Feliks Zemdegs,Australia,OcR,,2014
CubeEliteUnionCafe2014,581,1049,Jiayu Wang (王佳宇),China,AsR,,2014
RedCrossCubingOpen2014,593,1053,Collin Burns,USA,NAR,,2014
WC2003,1653,0,Jess Bonde,Denmark,WR,,2003
WC2003,5429,0,Jasmine Lee,Australia,OcR,,2003
WC2003,1830,0,Lars Vandenbergh,Belgium,ER,,2003
WC2003,1779,0,Masayuki Akimoto (秋元正行),Japan,AsR,,2003
