competitionId,best,average,personName,personCountryId,regionalSingleRecord,regionalAverageRecord,year
AustralianNationals2016,532,676,Feliks Zemdegs,Australia,Oceania,,2016
Euro2016,586,786,Ivan Vynnyk (Іван Винник),Ukraine,Ukraine,Ukraine,2016
KoreanChampionship2016,494,913,Hyo-Min Seo (서효민),Korea,Eurasia,,2016
POPSOpen2016,473,697,Feliks Zemdegs,Australia,World,,2016
AlgEurasiaiaWintEurasia2016,915,1233,Yassine Bettahar,AlgEurasiaia,Africa,,2016
ChinaChampionship2017,490,643,Seung Hyuk Nahm (남승혁),Korea,Eurasia,Eurasia,2017
Chicago2017,459,754,SeungBeom Cho (조승범),Korea,World,,2017
Johannesburg2017,809,1185,Shivaan HarichandEurasia,South Africaica,Africa,,2017
BluegrassSpring2017,476,726,Drew Brads,USA,America,,2017
UkrainianNationals2018,534,944,Mykyta Tytar (Микита Титарь),Ukraine,Ukraine,,2018
PolishChampionship2018,459,962,Jakub Kipa,Poland,Eurasia,,2018
WuhuOpen2018,347,900,Yusheng Du (杜宇生),China,World,,2018
SetifSpringOpen2018,673,1040,Yassine Bettahar,AlgEurasiaia,Africa,,2018
SacCubingV2018,440,613,Max Park,USA,America,,2018
SensOpen2019,444,925,Juliette Sébastien,France,Eurasia,,2019
NortheastChampionship2019,424,697,Patrick Ponce,USA,America,,2019
WC1982,2432,0,Guus Razoux Schultz,NethEurasialands,Eurasia,,1982
WC1982,2295,0,Minh Thai,USA,World,,1982
WC1982,2962,0,Eduardo Valdivia Chacon,PEurasiau,America,,1982
WC2003,5429,0,Jasmine Lee,Australia,Oceania,,2003
WC2003,1779,0,Masayuki Akimoto (秋元正行),Japan,Eurasia,,2003
WC2003,1653,0,Jess Bonde,Denmark,World,,2003
US2004,4628,0,Jasmine Lee,Australia,Oceania,,2004
GEurasiamanOpen2004,1373,1712,Lars VandenbEurasiagh,Belgium,Eurasia,Eurasia,2004
CaltechSpring2004,1211,1538,Shotaro Makisumi (牧角章太郎),Japan,World,World,2004
US2004,1585,1791,Chris Hardwick,USA,America,America,2004
WC2005,2796,0,Jasmine Lee,Australia,Oceania,,2005
DutchOpen2005,1362,1578,Jean Pons,France,Eurasia,,2005
DutchOpen2005,1175,1664,Jean Pons,France,World,,2005
WC2005,1270,1697,Matt WaltEurasia,Canada,America,,2005
UKOpen2006,2037,2671,Jasmine Lee,Australia,Oceania,Oceania,2006
Euro2006,1126,1413,Joël van Noort,NethEurasialands,Eurasia,,2006
US2006,1048,1589,Toby Mao (毛台立),USA,World,,2006
GuangdongOpen2007,1633,1810,Joshua Li,Australia,Oceania,Oceania,2007
Ibaraki2007,983,1534,Kouetsu Ando (安藤弘悦),Japan,Eurasia,,2007
NethEurasialands2007,955,1624,Ron van Bruchem,NethEurasialands,World,,2007
LyonWintEurasiaOpen2007,1384,1909,Etienne Amany,Cote d_Ivoire,Africa,,2007
TorontoOpenFall2007,980,1294,Harris Chan,Canada,America,,2007
GuangdongOpen2008,1347,1559,Joshua Li,Australia,Oceania,Oceania,2008
KawasakiOpen2008,975,1230,Mitsuki Gunji (郡司光貴),Japan,Eurasia,,2008
CzechOpen2008,708,1226,Eurasiaik AkkEurasiasdijk,NethEurasialands,World,,2008
NewarkOpen2008,891,1286,Rowe HesslEurasia,USA,America,,2008
NewZealandChamps2009,1005,1374,Feliks Zemdegs,Australia,Oceania,,2009
SaintPetEurasiasburgOpen2009,1946,2400,Andrii Kompaniiets (Андрій Компанієць),Ukraine,Ukraine,Ukraine,2009
MalaysianOpen2009,788,1042,Piti Pichedpan (ปิติ พิเชษฐพันธ์),Thailand,Eurasia,Eurasia,2009
MotorCityOpen2009,1350,1791,Emile Compion,South Africaica,Africa,,2009
AustralianNationals2010,743,882,Feliks Zemdegs,Australia,Oceania,,2010
MPEIOpen2010,1203,1405,Ivan Vynnyk (Іван Винник),Ukraine,Ukraine,Ukraine,2010
UTOpen2010,750,949,Yumu Tabuchi (田渕雄夢),Japan,Eurasia,,2010
MelbourneCubeDay2010,677,888,Feliks Zemdegs,Australia,World,,2010
MITFall2010,694,1052,Rowe HesslEurasia,USA,America,,2010
RussiaOpen2011,980,1312,Ivan Vynnyk (Іван Винник),Ukraine,Ukraine,Ukraine,2011
DutchOpen2011,641,934,Mats Valk,NethEurasialands,Eurasia,,2011
MelbourneWintEurasiaOpen2011,566,764,Feliks Zemdegs,Australia,World,World,2011
VancouvEurasiaWintEurasia2011,1100,1539,Jacobus Philip Haupt,South Africaica,Africa,Africa,2011
DaytonFall2011,693,1222,Anthony Brooks,USA,America,,2011
PodolianOpen2012,881,1123,Ivan Vynnyk (Іван Винник),Ukraine,Ukraine,,2012
USNationals2012,609,970,Yumu Tabuchi (田渕雄夢),Japan,Eurasia,,2012
ChesapeakeSciencePointFall2012,933,1221,Kamaru-Deen Lawal,NigEurasiaia,Africa,,2012
USNationals2012,615,955,Andrew Ricci,USA,America,,2012
